name,bus0,bus1,r (pu),r,x (pu),x,b (pu),b (Siemens),c (Farad),c,s_nom,max i
0,Bramford,Kemsley,0.00035,0.56,0.0023,3.68,0.2249,0.000140563,4.47E-07,447.4243338,2780,4.01
1,Bramford,Walpole,0.00178,2.848,0.0213,34.08,0.6682,0.000417625,1.33E-06,1329.341662,1590,2.29
2,Bramley,Lovedean,0.00068,1.088,0.007,11.2,0.2388,0.00014925,4.75E-07,475.0775051,2210,3.19
3,Bramley,London,0.00104,1.664,0.0091,14.56,0.2918,0.000182375,5.81E-07,580.5176549,1390,2.01
4,Bramley,Lovedean,0.00068,1.088,0.007,11.2,0.2388,0.00014925,4.75E-07,475.0775051,2210,3.19
5,Daines,Feckenham,0.00049,0.784,0.007,11.2,0.1943,0.000121438,3.87E-07,386.547568,2400,3.46
6,Daines,Thornton/Drax/Eggborough,0.00137,2.192,0.023,36.8,0.6643,0.000415188,1.32E-06,1321.582859,1240,1.79
7,Daines,Th. Marsh/Stocksbridge,0.00107,1.712,0.01163,18.608,1.1745,0.000734063,2.34E-06,2336.593508,1040,1.5
8,Deeside,Daines,0.00096,1.536,0.01078,17.248,0.385,0.000240625,7.66E-07,765.9331636,3100,4.47
9,Deeside,Feckenham,0.00074,1.184,0.009,14.4,0.2911,0.000181938,5.79E-07,579.1250492,2400,3.46
10,Deeside,Daines,0.00096,1.536,0.01078,17.248,0.385,0.000240625,7.66E-07,765.9331636,3100,4.47
11,Eccles,Stella West,0.00083,1.328,0.0175,28,0.6624,0.000414,1.32E-06,1317.802929,3070,4.43
12,Feckenham,Ratcliffe,0.00042,0.672,0.0018,2.88,0.2349,0.000146813,4.67E-07,467.3187017,3100,4.47
13,Feckenham,Melksham,0.00138,2.208,0.0096,15.36,0.4829,0.000301813,9.61E-07,960.6990252,1970,2.84
14,Harker,Penwortham,0.00164,2.624,0.0163,26.08,0.4868,0.00030425,9.68E-07,968.4578287,1390,2.01
15,Harker,Stella West,0.00352,5.632,0.02453,39.248,0.1898,0.000118625,3.78E-07,377.5951025,855,1.23
16,Keadby,Feckenham,0.00056,0.896,0.0141,22.56,0.4496,0.000281,8.94E-07,894.4507802,2780,4.01
17,London,Kemsley,0.0002,0.32,0.0057,9.12,0.532,0.0003325,1.06E-06,1058.380372,6960,10.05
18,Lovedean,Sellindge,0.00038,0.608,0.00711,11.376,0.2998,0.000187375,5.96E-07,596.4331492,3070,4.43
19,Melksham,S.W.Penisula,0.00151,2.416,0.0182,29.12,0.53,0.00033125,1.05E-06,1054.401498,2010,2.9
20,Melksham,Bramley,0.00023,0.368,0.0007,1.12,2.8447,0.001777938,5.66E-06,5659.350833,4400,6.35
21,Melksham,Sundon/East Claydon,0.00039,0.624,0.003,4.8,0.2466,0.000154125,4.91E-07,490.5951121,2770,4
22,Melksham,S.W.Penisula,0.00151,2.416,0.0182,29.12,0.53,0.00033125,1.05E-06,1054.401498,2010,2.9
23,Neilston,Strathaven,0.00085,1.36,0.01051,16.816,0.38254,0.000239088,7.61E-07,761.0391491,1390,2.01
24,Pelham,Keadby,0.00145,2.32,0.01824,29.184,0.9169,0.000573063,1.82E-06,1824.114592,2780,4.01
25,Pelham,London,0.00025,0.4,0.01,16,0.1586,0.000099125,3.16E-07,315.5246747,2780,4.01
26,Pelham,Bramford,0.0012,1.92,0.0048,7.68,0.4446,0.000277875,8.85E-07,884.5035962,2780,4.01
27,Pelham,Walpole,0.00037,0.592,0.0059,9.44,0.294,0.00018375,5.85E-07,584.8944159,3030,4.37
28,Penwortham,Thornton/Drax/Eggborough,0.0007,1.12,0.042,67.2,0.3907,0.000244188,7.77E-07,777.2729533,2520,3.64
29,Penwortham,Daines,0.0004,0.64,0.0052,8.32,0.2498,0.000156125,4.97E-07,496.9613098,2170,3.13
30,Penwortham,Deeside,0.0001,0.16,0.0085,13.6,0.0798,0.000049875,1.59E-07,158.7570557,3320,4.79
31,Ratcliffe,Keadby,0.001,1.6,0.01072,17.152,0.4573,0.000285813,9.10E-07,909.7694434,1890,2.73
32,Ratcliffe,Sundon/East Claydon,0.00068,1.088,0.0097,15.52,0.4566,0.000285375,9.08E-07,908.3768377,2100,3.03
33,S.W.Penisula,Lovedean,0.00051,0.816,0.00796,12.736,0.34,0.0002125,6.76E-07,676.4085081,2780,4.01
34,Sellindge,Kemsley,0.0002,0.32,0.00503,8.048,0.1797,0.000112313,3.58E-07,357.5017909,3100,4.47
35,Stella West,Thornton/Drax/Eggborough,0.00053,0.848,0.00835,13.36,5.373,0.003358125,1.07E-05,10689.24387,4840,6.99
36,Strathaven,Harker,0.00078,1.248,0.00852,13.632,0.0737,4.61E-05,1.47E-07,146.6214913,2100,3.03
37,Sundon/East Claydon,Keadby,0.00178,2.848,0.0172,27.52,0.8403,0.000525188,1.67E-06,1671.723734,2010,2.9
38,Sundon/East Claydon,London,0.00037,0.592,0.0041,6.56,0.4098,0.000256125,8.15E-07,815.271196,3275,4.73
39,Sundon/East Claydon,Pelham,0.00019,0.304,0.00111,1.776,0.1232,0.000077,2.45E-07,245.0986124,2780,4.01
40,Th. Marsh/Stocksbridge,Keadby,0.0005,0.8,0.016,25.6,0.2795,0.000174688,5.56E-07,556.0475824,2580,3.72
41,Thornton/Drax/Eggborough,Keadby,0.00033,0.528,0.0052,8.32,0.3534,0.000220875,7.03E-07,703.0669611,2770,4
42,Thornton/Drax/Eggborough,Th. Marsh/Stocksbridge,0.00019,0.304,0.00222,3.552,0.7592,0.0004745,1.51E-06,1510.38041,5000,7.22
43,Torness,Eccles,0.0004,0.64,0.0001,0.16,0.728,0.000455,1.45E-06,1448.309982,2180,3.15
44,Torness,Strathaven,0.003,4.8,0.2,320,0.2939,0.000183688,5.85E-07,584.6954722,950,1.37
