name,bus0,bus1,r (pu),r,x (pu),x,b (pu),b (Siemens),c (Farad),c,s_nom,max i
0,Bramford,Kemsley,0.00035,0.56,0.0023,3.68,0.2249,0.000140563,4.47E-07,447.4243338,2780,4.01
1,Bramford,Kemsley,0.00035,0.56,0.0023,3.68,0.2249,0.000140563,4.47E-07,447.4243338,2780,4.01
2,Bramford,Walpole,0.00178,2.848,0.0213,34.08,0.6682,0.000417625,1.33E-06,1329.341662,1590,2.29
3,Bramford,Walpole,0.00132,2.112,0.0143,22.88,0.3656,0.0002285,7.27E-07,727.3380899,1590,2.29
4,Bramley,Lovedean,0.00068,1.088,0.007,11.2,0.2388,0.00014925,4.75E-07,475.0775051,2210,3.19
5,Bramley,London,0.00104,1.664,0.0091,14.56,0.2918,0.000182375,5.81E-07,580.5176549,1390,2.01
6,Bramley,London,0.00104,1.664,0.0091,14.56,0.2918,0.000182375,5.81E-07,580.5176549,1390,2.01
7,Bramley,Lovedean,0.00068,1.088,0.007,11.2,0.2388,0.00014925,4.75E-07,475.0775051,2210,3.19
8,Daines,Feckenham,0.00049,0.784,0.007,11.2,0.1943,0.000121438,3.87E-07,386.547568,2400,3.46
9,Daines,Feckenham,0.00084,1.344,0.007,11.2,0.7759,0.000484938,1.54E-06,1543.604004,2400,3.46
10,Daines,Thornton/Drax/Eggborough,0.00137,2.192,0.023,36.8,0.6643,0.000415188,1.32E-06,1321.582859,1240,1.79
11,Daines,Thornton/Drax/Eggborough,0.00164,2.624,0.023,36.8,0.1104,0.000069,2.20E-07,219.6338215,955,1.38
12,Daines,Th. Marsh/Stocksbridge,0.00107,1.712,0.01163,18.608,1.1745,0.000734063,2.34E-06,2336.593508,1040,1.5
13,Daines,Th. Marsh/Stocksbridge,0.00082,1.312,0.01201,19.216,1.2125,0.000757813,2.41E-06,2412.192106,1040,1.5
14,Deeside,Daines,0.00096,1.536,0.01078,17.248,0.385,0.000240625,7.66E-07,765.9331636,3100,4.47
15,Deeside,Feckenham,0.00074,1.184,0.009,14.4,0.2911,0.000181938,5.79E-07,579.1250492,2400,3.46
16,Deeside,Feckenham,0.00097,1.552,0.009,14.4,0.3835,0.000239688,7.63E-07,762.9490084,2400,3.46
17,Deeside,Daines,0.00096,1.536,0.01078,17.248,0.385,0.000240625,7.66E-07,765.9331636,3100,4.47
18,Eccles,Stella West,0.00083,1.328,0.0175,28,0.6624,0.000414,1.32E-06,1317.802929,3070,4.43
19,Eccles,Stella West,0.00083,1.328,0.0175,28,0.6624,0.000414,1.32E-06,1317.802929,3070,4.43
20,Feckenham,Ratcliffe,0.00042,0.672,0.0018,2.88,0.2349,0.000146813,4.67E-07,467.3187017,3100,4.47
21,Feckenham,Ratcliffe,0.00042,0.672,0.0018,2.88,0.2349,0.000146813,4.67E-07,467.3187017,3460,4.99
22,Feckenham,Melksham,0.00138,2.208,0.0096,15.36,0.4829,0.000301813,9.61E-07,960.6990252,1970,2.84
23,Feckenham,Melksham,0.00117,1.872,0.0096,15.36,0.4122,0.000257625,8.20E-07,820.0458443,1970,2.84
24,Harker,Penwortham,0.00164,2.624,0.0163,26.08,0.4868,0.00030425,9.68E-07,968.4578287,1390,2.01
25,Harker,Penwortham,0.00164,2.624,0.0163,26.08,0.4868,0.00030425,9.68E-07,968.4578287,1390,2.01
26,Harker,Stella West,0.00352,5.632,0.02453,39.248,0.1898,0.000118625,3.78E-07,377.5951025,855,1.23
