,p_from_mw,q_from_mvar,p_to_mw,q_to_mvar,pl_mw,ql_mvar,i_from_ka,i_to_ka,i_ka,vm_from_pu,va_from_degree,vm_to_pu,va_to_degree,loading_percent
44,62.19153454,-311.0291833,-62.17511455,278.7771853,0.016419991,-32.251998,0.449950737,0.404322876,0.449950737,1.017485863,14.69535681,1.019646132,14.66654666,5.610358312
45,62.19153454,-311.0291833,-62.17511455,278.7771853,0.016419991,-32.251998,0.449950737,0.404322876,0.449950737,1.017485863,14.69535681,1.019646132,14.66654666,5.610358312
32,-859.8559368,-52.53355709,860.0572025,-6.535783383,0.201265768,-59.06934047,1.214842258,1.212474514,1.214842258,1.023515019,16.90759724,1.023874294,17.15795959,13.7115379
33,-859.8559368,-52.53355709,860.0572025,-6.535783383,0.201265768,-59.06934047,1.214842258,1.212474514,1.214842258,1.023515019,16.90759724,1.023874294,17.15795959,13.7115379
14,-876.5688669,505.1856871,877.3172129,-575.3933801,0.748346035,-70.20769293,1.442618708,1.501504151,1.501504151,1.01225492,6.664681057,1.008555408,7.084432121,16.79534844
17,-876.5688669,505.1856871,877.3172129,-575.3933801,0.748346035,-70.20769293,1.442618708,1.501504151,1.501504151,1.01225492,6.664681057,1.008555408,7.084432121,16.79534844
74,1030.966629,-163.9353421,-1030.566852,119.9573431,0.399776991,-43.97799894,1.496136425,1.485044863,1.496136425,1.007105594,10.92370989,1.008412712,10.22285645,20.10936055
82,399.4293786,4.85118528,-399.0718249,-40.21738359,0.35755367,-35.36619831,0.573283467,0.578090323,0.578090323,1.005731372,26.71349894,1.001449344,23.30757936,21.09818698
83,399.4293786,4.85118528,-399.0718249,-40.21738359,0.35755367,-35.36619831,0.573283467,0.578090323,0.578090323,1.005731372,26.71349894,1.001449344,23.30757936,21.09818698
50,-1080.083922,-64.01148198,1080.691221,21.45547143,0.607299094,-42.55601055,1.554711799,1.55022685,1.554711799,1.004496329,9.665722282,1.006401613,11.59363846,21.35593131
51,-1080.07792,-75.02892688,1080.936576,-4.55740491,0.858655935,-79.58633179,1.555720057,1.550287086,1.555720057,1.004496329,9.665722282,1.006401613,11.59363846,21.36978101
37,-1168.755922,441.8109318,1169.392624,-509.9309662,0.636701525,-68.1200343,1.774608356,1.812943593,1.812943593,1.016258906,13.5670404,1.015679644,13.72394844,22.60528171
38,-1201.774762,394.1182091,1202.23366,-441.4960108,0.458898597,-47.37780172,1.796302991,1.820045409,1.820045409,1.016258906,13.5670404,1.015679644,13.72394844,22.75056761
2,-744.2411967,216.2550839,745.0496209,-346.4561086,0.808424167,-130.2010247,1.091608121,1.161181147,1.161181147,1.024772401,17.03070723,1.021347093,17.70249819,25.35330016
62,1681.295963,61.82198692,-1680.890562,-89.28341503,0.405400935,-27.46142811,2.371757654,2.374141762,2.374141762,1.023874294,17.15795959,1.023349464,16.81178208,26.55639555
63,1681.295963,61.82198692,-1680.890562,-89.28341503,0.405400935,-27.46142811,2.371757654,2.374141762,2.374141762,1.023874294,17.15795959,1.023349464,16.81178208,26.55639555
3,-1103.971187,397.5069596,1105.299248,-459.6509885,1.328060731,-62.14402895,1.652653233,1.691702087,1.691702087,1.024772401,17.03070723,1.021347093,17.70249819,36.9367268
27,537.2602163,-232.0871288,-536.0341936,190.5280079,1.226022734,-41.55912096,0.845631491,0.819161749,0.845631491,0.998933891,19.20481971,1.002389489,18.37021677,37.75140585
0,2396.731048,461.4255091,-2395.236377,-498.7739688,1.49467116,-37.34845966,3.437749774,3.450812262,3.450812262,1.024772401,17.03070723,1.023349464,16.81178208,43.02758432
1,2396.731048,461.4255091,-2395.236377,-498.7739688,1.49467116,-37.34845966,3.437749774,3.450812262,3.450812262,1.024772401,17.03070723,1.023349464,16.81178208,43.02758432
26,751.2220118,-308.5935512,-749.5070194,282.5345392,1.714992416,-26.05901208,1.173468042,1.153374907,1.173468042,0.998933891,19.20481971,1.002389489,18.37021677,47.70195292
5,-1713.004432,262.2498462,1715.267562,-303.1576587,2.263130299,-40.90781255,2.451724705,2.46570482,2.46570482,1.020227094,14.01003285,1.019646132,14.66654666,61.3359408
6,-1713.004432,262.2498462,1715.267562,-303.1576587,2.263130299,-40.90781255,2.451724705,2.46570482,2.46570482,1.020227094,14.01003285,1.019646132,14.66654666,61.3359408
30,-9150.399978,-446.4746121,9162.502208,680.3638759,12.10222924,233.8892638,12.96839834,12.95876261,12.96839834,1.019646132,14.66654666,1.023349464,16.81178208,64.51939472
79,7040.099377,-1011.171821,-7033.37173,981.1755154,6.727646354,-29.99630587,10.20048783,10.17778478,10.20048783,1.006401613,11.59363846,1.007105594,10.92370989,70.64049742
78,7033.135713,-1062.737316,-7026.039601,991.7519023,7.096111868,-70.98541377,10.20138925,10.16948485,10.20138925,1.006401613,11.59363846,1.007105594,10.92370989,70.64673993
75,830.5706245,-337.4667128,-827.6352992,318.2571095,2.935325326,-19.20960329,1.284871884,1.269189025,1.284871884,1.007105594,10.92370989,1.008412712,10.22285645,71.38177132
31,-9150.399978,-446.4746121,9162.502208,680.3638759,12.10222924,233.8892638,12.96839834,12.95876261,12.96839834,1.019646132,14.66654666,1.023349464,16.81178208,81.05248962
70,-5608.896445,-800.6712586,5617.513773,811.2793809,8.617328425,10.60812232,8.051568991,8.034456696,8.051568991,1.015679644,13.72394844,1.019646132,14.66654666,85.11172295
71,-5606.765237,-843.8693804,5614.693828,850.6208071,7.928591305,6.751426656,8.057478454,8.038658966,8.057478454,1.015679644,13.72394844,1.019646132,14.66654666,85.17419085
60,5735.477239,-209.6302512,-5723.468711,325.7814658,12.00852741,116.1512145,8.089072538,8.084382932,8.089072538,1.024094661,18.7832523,1.023515019,16.90759724,100.8612536
61,5735.477239,-209.6302512,-5723.468711,325.7814658,12.00852741,116.1512145,8.089072538,8.084382932,8.089072538,1.024094661,18.7832523,1.023515019,16.90759724,100.8612536
42,5883.428402,340.6024806,-5846.868349,-68.86603023,36.56005318,271.7364504,8.360033441,8.36940351,8.36940351,1.017485863,14.69535681,1.008412712,10.22285645,104.3566522
43,5883.428402,340.6024806,-5846.868349,-68.86603023,36.56005318,271.7364504,8.360033441,8.36940351,8.36940351,1.017485863,14.69535681,1.008412712,10.22285645,104.3566522
76,6172.077711,-871.980321,-6162.598017,949.6262949,9.479694216,77.64597385,8.939864072,8.924848879,8.939864072,1.006401613,11.59363846,1.008412712,10.22285645,111.7483009
68,4870.975278,129.5699785,-4840.210428,-4.427218491,30.76485017,125.14276,6.924559531,6.927961954,6.927961954,1.015679644,13.72394844,1.008412712,10.22285645,119.4476199
69,4870.975278,151.5741162,-4840.210428,17.26317748,30.76485017,168.8372936,6.925461575,6.92800312,6.92800312,1.015679644,13.72394844,1.008412712,10.22285645,119.4483297
54,8337.466122,-1109.906115,-8332.208947,1540.537241,5.25717454,430.6311262,12.08591729,12.08227078,12.08591729,1.004496329,9.665722282,1.01225492,6.664681057,126.1578005
55,8337.466122,-1109.906115,-8332.208947,1540.537241,5.25717454,430.6311262,12.08591729,12.08227078,12.08591729,1.004496329,9.665722282,1.01225492,6.664681057,126.1578005
77,18534.80599,-3108.428455,-18492.9889,3476.934918,41.81708836,368.5064629,26.9537528,26.93342553,26.9537528,1.006401613,11.59363846,1.008412712,10.22285645,168.460955
34,-6906.436441,250.6403988,6958.843016,270.6927489,52.40657487,521.3331477,9.815554443,9.815324103,9.815554443,1.016258906,13.5670404,1.024094661,18.7832523,169.2336973
39,-6906.436441,250.6403988,6958.843016,270.6927489,52.40657487,521.3331477,9.815554443,9.815324103,9.815554443,1.016258906,13.5670404,1.024094661,18.7832523,169.2336973
18,11067.47206,223.9379977,-10991.55998,1243.480732,75.91207629,1467.418729,15.93692208,15.92809137,15.93692208,1.002564333,26.67065019,1.002389489,18.37021677,179.874967
19,11067.47206,223.9379977,-10991.55998,1243.480732,75.91207629,1467.418729,15.93692208,15.92809137,15.93692208,1.002564333,26.67065019,1.002389489,18.37021677,179.874967
35,-9523.984419,3469.380761,9588.586889,-3608.811609,64.60246949,-139.4308485,14.39630002,14.4945184,14.4945184,1.016258906,13.5670404,1.020227094,14.01003285,180.7296558
36,-16041.65594,-2645.283666,16085.56072,2189.016991,43.90478436,-456.2666755,23.09139092,22.9669527,23.09139092,1.016258906,13.5670404,1.020227094,14.01003285,181.8219758
10,-4591.417892,513.9737093,4613.054433,-285.5872735,21.63654166,228.3864358,6.611966133,6.62868372,6.62868372,1.008555408,7.084432121,1.006401613,11.59363846,185.1587631
41,5368.516684,-44.82150376,-5336.238802,270.1884387,32.27788221,225.366935,7.705950252,7.700902659,7.705950252,1.005593884,27.00422342,1.001449344,23.30757936,191.6903048
64,18962.20808,-1260.268751,-18819.75616,2420.4865,142.4519246,1160.217749,27.36458454,27.21351409,27.36458454,1.002389489,18.37021677,1.006401613,11.59363846,195.7409481
48,-12307.2684,176.9082417,12347.88026,409.5804194,40.61185381,586.4886611,17.46053441,17.45971779,17.46053441,1.017485863,14.69535681,1.021347093,17.70249819,199.7772816
46,-11535.90978,1019.077956,11652.5843,-645.0983733,116.6745164,373.9795829,16.42823336,16.43761171,16.43761171,1.017485863,14.69535681,1.024772401,17.03070723,204.957752
47,-11535.90978,992.6369693,11652.5843,-671.9194207,116.6745164,320.7175486,16.42497523,16.43974316,16.43974316,1.017485863,14.69535681,1.024772401,17.03070723,204.9843287
