pv_kWp,batt_kWh,annual_pv_kwh,annual_demand,grid_import_kwh,unmet_hours,soc_hist,grid_import_series,grid_export_series,charge_hist,discharge_hist
469.0,0,1376178.6424764788,2649175.0,1363357.5370720827,7929,[0. 0. 0. ... 0. 0. 0.],"[ 47.82898723  47.71375319  47.37470795 ... 124.64138794 130.30820788
  41.36808573]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
469.0,500,1376178.6424764788,2649175.0,1297707.171826284,7496,"[199.58382072 149.28910878  99.35178191 ...  25.          25.
  25.        ]","[  0.           0.           0.         ... 124.64138794 130.30820788
  41.36808573]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[47.82898723 47.71375319 47.37470795 ...  0.          0.
  0.        ]"
469.0,900,1376178.6424764788,2649175.0,1281648.2587426668,7403,"[399.58382072 349.28910878 299.35178191 ...  45.          45.
  45.        ]","[  0.           0.           0.         ... 124.64138794 130.30820788
  41.36808573]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[47.82898723 47.71375319 47.37470795 ...  0.          0.
  0.        ]"
469.0,1200,1376178.6424764788,2649175.0,1281520.1864974299,7402,"[549.58382072 499.28910878 449.35178191 ...  60.          60.
  60.        ]","[  0.           0.           0.         ... 124.64138794 130.30820788
  41.36808573]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[47.82898723 47.71375319 47.37470795 ...  0.          0.
  0.        ]"
469.0,2000,1376178.6424764788,2649175.0,1281178.6605101316,7402,"[949.58382072 899.28910878 849.35178191 ... 100.         100.
 100.        ]","[  0.           0.           0.         ... 124.64138794 130.30820788
  41.36808573]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[47.82898723 47.71375319 47.37470795 ...  0.          0.
  0.        ]"
469.0,3000,1376178.6424764788,2649175.0,1280751.753026009,7401,"[1449.58382072 1399.28910878 1349.35178191 ...  150.          150.
  150.        ]","[  0.           0.           0.         ... 124.64138794 130.30820788
  41.36808573]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[47.82898723 47.71375319 47.37470795 ...  0.          0.
  0.        ]"
703.5,0,2064267.9637147181,2649175.0,1013159.0776420913,7223,[0. 0. 0. ... 0. 0. 0.],"[ 47.80487536  47.6320243   47.12345644 ... 119.61747582 128.11770572
  40.50185464]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
703.5,500,2064267.9637147181,2649175.0,911224.6367238769,6300,"[199.60923687 149.40067475  99.72819023 ...  25.          25.
  25.        ]","[  0.           0.           0.         ... 119.61747582 128.11770572
  40.50185464]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[47.80487536 47.6320243  47.12345644 ...  0.          0.
  0.        ]"
703.5,900,2064267.9637147181,2649175.0,837936.6877056719,5165,"[399.60923687 349.40067475 299.72819023 ...  45.          45.
  45.        ]","[  0.           0.           0.         ... 119.61747582 128.11770572
  40.50185464]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[47.80487536 47.6320243  47.12345644 ...  0.          0.
  0.        ]"
703.5,1200,2064267.9637147181,2649175.0,788332.6843043999,4497,"[549.60923687 499.40067475 449.72819023 ...  60.          60.
  60.        ]","[  0.           0.           0.         ... 119.61747582 128.11770572
  40.50185464]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[47.80487536 47.6320243  47.12345644 ...  0.          0.
  0.        ]"
703.5,2000,2064267.9637147181,2649175.0,684654.9262161239,4129,"[949.60923687 899.40067475 849.72819023 ... 100.         100.
 100.        ]","[  0.           0.           0.         ... 119.61747582 128.11770572
  40.50185464]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[47.80487536 47.6320243  47.12345644 ...  0.          0.
  0.        ]"
703.5,3000,2064267.9637147181,2649175.0,681868.1909844424,4118,"[1449.60923687 1399.40067475 1349.72819023 ...  150.          150.
  150.        ]","[  0.           0.           0.         ... 119.61747582 128.11770572
  40.50185464]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],"[47.80487536 47.6320243  47.12345644 ...  0.          0.
  0.        ]"
938.0,0,2752357.2849529576,2649175.0,773327.2395911408,6254,[0. 0. 0. ... 0. 0. 0.],"[ 47.78076348  47.5502954   46.87220492 ... 114.59356369 125.92720356
  39.63562355]",[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.]
